decoration,elevator,location,orientation,pattern,property,size,total_price,unit_price,village
简装,1室1厅,北大地,南 北,2室1厅,1985年建板楼,66.6平米,386,57958,粮食局宿舍 
精装,有电梯,玉泉营,南,1室1厅,2011年建板楼,68.81平米,355,51592,青秀雅苑 
精装,有电梯,玉泉营,南 西 北,2室1厅,2006年建塔楼,101.7平米,498,48968,鸿业兴园一区 
毛坯,无电梯,七里庄,南 西 北,3室1厅,1998年建板楼,80.83平米,535,66189,望园东里 
精装,无电梯,卢沟桥,南 北,3室2厅,1998年建板楼,151.97平米,600,39482,晓月苑三里 
精装,无电梯,七里庄,南 北,2室1厅,1998年建板楼,68.35平米,388,56767,中建一局北院 
精装,有电梯,科技园区,南 北,3室1厅,2002年建板楼,144.75平米,750,51814,益辰欣园 
简装,有电梯,玉泉营,南,1室1厅,2007年建板楼,54.03平米,380,70332,中景理想家 
精装,有电梯,科技园区,东,1室0厅,2012年建板楼,36.86平米,268,72708,中海御鑫阁 
简装,有电梯,玉泉营,北,1室1厅,2008年建板塔结合,59.47平米,416,69952,万年花城四期 
简装,有电梯,科技园区,西南,1室1厅,2001年建塔楼,70.11平米,400,57054,怡海花园富泽园 
简装,有电梯,科技园区,西南 北,3室2厅,2001年建塔楼,130.08平米,690,53045,怡海花园富润园 
简装,无电梯,科技园区,南 北,2室1厅,1998年建板楼,73.39平米,500,68130,怡海花园富泽园 
简装,无电梯,科技园区,南 北,2室1厅,1990年建板楼,51.93平米,268,51608,看丹路10号院 
简装,有电梯,科技园区,南,1室1厅,2008年建塔楼,69.09平米,310,44870,天龙华鹤 
精装,有电梯,科技园区,南 北,3室2厅,2012年建板楼,178.83平米,1369,76554,中海九号公馆 
精装,无电梯,马家堡,东 西,2室1厅,1998年建板楼,76.99平米,379,49228,西马金润二区 
精装,有电梯,岳各庄,东南,3室1厅,塔楼,119.28平米,606,50805,丰体时代花园 
精装,无电梯,科技园区,南 北,3室1厅,1995年建板楼,114.39平米,600,52453,恒富花园1号院 
精装,有电梯,丽泽,南,2室1厅,2009年建板塔结合,90.34平米,810,89662,保利百合 
精装,无电梯,五里店,南 北,3室1厅,1995年建板楼,53.64平米,308,57420,南五里店45号院 
简装,有电梯,玉泉营,南,2室1厅,2006年建塔楼,87.15平米,580,66552,万年花城二期 
精装,有电梯,玉泉营,东南,2室1厅,2006年建塔楼,89.35平米,650,72748,万年花城二期 
精装,2室1厅,玉泉营,南 北,2室1厅,2009年建板塔结合,88.12平米,462,52429,鸿业兴园二区 
简装,有电梯,玉泉营,东南,2室1厅,2006年建板楼,93.96平米,595,63325,万年花城三期 
简装,有电梯,玉泉营,东南,1室1厅,2006年建塔楼,68.81平米,382,55516,三环新城8号院 
精装,有电梯,玉泉营,东,1室1厅,2005年建塔楼,64.65平米,370,57232,三环新城7号院 
简装,无电梯,七里庄,南,1室1厅,1999年建板楼,48.99平米,335,68382,望园东里 
简装,无电梯,广安门,南,1室1厅,1990年建板楼,46.58平米,305,65479,莲花池南里 
精装,有电梯,草桥,南 北,3室1厅,2005年建板塔结合,122.19平米,830,67927,冬季星空 
简装,有电梯,丽泽,南 北,2室1厅,2003年建板楼,96.58平米,585,60572,丰益花园东区 
精装,无电梯,看丹桥,东北,2室1厅,1986年建板楼,50.98平米,280,54924,韩庄子西里 
精装,无电梯,太平桥,南 北,2室1厅,1986年建板楼,56.12平米,390,69494,太平桥东里 
精装,有电梯,玉泉营,南 北,2室1厅,2007年建板楼,99.35平米,578,58179,三环新城8号院 
