decoration,elevator,location,orientation,pattern,property,size,total_price,unit_price,village
简装,有电梯,玉泉营,南 北,3室2厅,2011年建板楼,119.27平米,866,72609,青秀城 
精装,有电梯,玉泉营,南 北,3室1厅,2011年建板楼,89.96平米,660,73366,青秀城 
简装,有电梯,菜户营,东 西北,3室2厅,2000年建塔楼,184.66平米,1050,56862,鹏润家园 
其他,无电梯,和义,南 北,3室1厅,1994年建板楼,78.39平米,370,47200,和义东里一区 
精装,无电梯,丽泽,南 北,2室1厅,1999年建板楼,60.31平米,350,58034,前泥洼小区 
精装,有电梯,太平桥,东 南,2室1厅,1980年建塔楼,55.3平米,405,73237,太平桥小区 
其他,有电梯,成寿寺,东北,3室1厅,2000年建塔楼,89.21平米,468,52461,华芳园 
简装,有电梯,丽泽,南,2室1厅,2001年建塔楼,76.4平米,455,59555,丰益花园西区 
精装,有电梯,玉泉营,东 西,2室1厅,2005年建板塔结合,79.75平米,430,53919,三环新城7号院 
精装,有电梯,太平桥,南 西北,2室1厅,2004年建塔楼,82.64平米,610,73815,糖人街 
简装,有电梯,丽泽,南 北,3室2厅,2009年建板塔结合,143.97平米,1260,87519,保利百合 
精装,有电梯,刘家窑,西南,2室1厅,2010年建塔楼,67.77平米,265,39103,宋家庄家园 
精装,有电梯,科技园区,东,1室0厅,2012年建板楼,38平米,266,70000,中海御鑫阁 
精装,无电梯,七里庄,南 北,3室1厅,1980年建板楼,73.53平米,430,58480,北大街北里 
简装,有电梯,木樨园,西北,2室1厅,1999年建塔楼,127.8平米,598,46792,双城公寓 
精装,有电梯,卢沟桥,南 北,3室1厅,2009年建板塔结合,144.53平米,608,42068,沸城 
简装,有电梯,刘家窑,西,2室1厅,2001年建塔楼,98.73平米,458,46390,正邦嘉园一期 
简装,无电梯,玉泉营,南 北,3室2厅,1998年建板楼,104.12平米,570,54745,育菲园东里 
精装,有电梯,方庄,南,2室1厅,2011年建板塔结合,93.64平米,890,95045,首开璞瑅 
毛坯,有电梯,马家堡,南 北,3室2厅,2015年建板楼,137.6平米,1020,74128,福海棠华苑 
简装,有电梯,玉泉营,西,1室1厅,2006年建塔楼,58.07平米,360,61995,鸿业兴园一区 
精装,无电梯,五里店,南 北,2室1厅,2001年建板楼,91.67平米,430,46908,丰卉家园 
简装,有电梯,六里桥,西南,3室1厅,1998年建塔楼,141.75平米,750,52911,莲香园 
精装,有电梯,草桥,东 南 北,3室2厅,2007年建板楼,144.68平米,1048,72436,风景club 
精装,无电梯,卢沟桥,南 北,2室1厅,1999年建板楼,99.05平米,385,38870,晓月苑三里 
精装,有电梯,岳各庄,西,1室0厅,2011年建板楼,54.27平米,395,72785,大成郡 
简装,有电梯,角门,西北,3室1厅,1999年建塔楼,103.2平米,580,56202,杏林园 
精装,有电梯,北大地,西北,2室1厅,2000年建塔楼,118.45平米,615,51921,文体路38号院 
简装,有电梯,方庄,东南,1室1厅,1990年建塔楼,40.21平米,260,64661,芳群园四区 
简装,无电梯,五里店,东 南 西,2室1厅,1990年建板楼,62.1平米,295,47505,程庄路3号院 
精装,有电梯,科技园区,南 北,2室1厅,2012年建板楼,91.06平米,640,70284,中海御鑫阁 
简装,有电梯,七里庄,南 北,2室1厅,2000年建板塔结合,88.95平米,540,60709,中建一局北院 
精装,有电梯,北京南站,南,2室1厅,2007年建板塔结合,100.62平米,765,76029,鼎立水岸家园 
简装,有电梯,新宫,东 北,3室1厅,2010年建塔楼,80.44平米,425,52835,南庭新苑南区 
精装,有电梯,卢沟桥,南 北,2室1厅,2007年建板塔结合,96.77平米,405,41852,晓月新苑 
其他,无电梯,和义,东 西,1室1厅,2005年建板楼,64.24平米,340,52927,久敬佳园三区 
精装,有电梯,宋家庄,东 南 西,3室1厅,2003年建板塔结合,123.96平米,650,52437,政馨园一区 
简装,有电梯,方庄,西南 北,3室1厅,1992年建塔楼,78.77平米,500,63476,芳城园一区 
精装,有电梯,玉泉营,南 东北,2室2厅,2005年建板塔结合,101.54平米,645,63522,万年花城二期 
简装,无电梯,看丹桥,南 北,2室1厅,1987年建板楼,57.36平米,305,53173,丰南103小区 
简装,有电梯,玉泉营,南,2室2厅,2006年建塔楼,99.25平米,660,66499,万年花城二期 
精装,有电梯,看丹桥,东北,2室1厅,2008年建塔楼,86.38平米,495,57305,韩庄子小区 
精装,有电梯,七里庄,南,2室1厅,2004年建板楼,88.35平米,650,73572,保利欣苑 
精装,有电梯,卢沟桥,南 北,3室1厅,2008年建板塔结合,142.18平米,610,42904,沸城 
简装,有电梯,看丹桥,南 北,3室2厅,2000年建板塔结合,142.64平米,690,48374,看丹苑 
精装,有电梯,玉泉营,西北,2室1厅,2007年建板楼,77.92平米,470,60319,优筑 
简装,有电梯,七里庄,南 北,2室1厅,2002年建板楼,118.53平米,800,67494,西局欣园南区 
精装,有电梯,玉泉营,南,2室1厅,2006年建板塔结合,94.98平米,660,69489,万年花城三期 
精装,有电梯,科技园区,东南 北,3室1厅,2002年建塔楼,154.26平米,850,55102,怡海花园富润园 
精装,无电梯,卢沟桥,南 北,2室1厅,2002年建板楼,91.05平米,375,41187,新月家园 
简装,有电梯,七里庄,北,1室1厅,2006年建塔楼,71.39平米,420,58832,望园东里 
简装,有电梯,卢沟桥,东南,2室1厅,2007年建塔楼,102.22平米,400,39132,晓月新城 
精装,有电梯,七里庄,南 西 北,2室1厅,2002年建板塔结合,86.95平米,626,71996,西局欣园南区 
精装,有电梯,玉泉营,南 西 北,2室2厅,2008年建塔楼,93.24平米,620,66496,万年花城四期 
简装,无电梯,和义,南 北,2室1厅,2005年建板楼,79.91平米,390,48805,世嘉丽晶 
精装,有电梯,玉泉营,东 西,2室1厅,2006年建板楼,95.22平米,620,65113,万年花城三期 
精装,有电梯,岳各庄,东南,3室1厅,2005年建塔楼,122.73平米,550,44814,丰体时代花园 
简装,有电梯,北大地,西北,2室1厅,2005年建塔楼,95.61平米,560,58572,永善里 
简装,无电梯,看丹桥,南 北,3室1厅,1995年建板楼,90.6平米,486,53643,新华街二里 
简装,无电梯,方庄,南 北,2室1厅,1992年建板楼,58.32平米,368,63101,芳古园一区 
简装,有电梯,花乡,西 北,1室1厅,2004年建板楼,58.28平米,290,49760,银地家园 
精装,有电梯,马家堡,西,1室1厅,2006年建板塔结合,57.74平米,420,72740,星河城西区 
精装,有电梯,新宫,南 北,2室1厅,2010年建板楼,68.45平米,380,55515,南庭新苑南区 
简装,有电梯,方庄,南,2室1厅,1990年建板塔结合,63平米,440,69842,芳星园二区 
简装,有电梯,方庄,西南,2室1厅,1990年建板塔结合,56.53平米,385,68106,芳群园二区 
精装,无电梯,太平桥,南 北,2室1厅,1989年建板楼,56.38平米,385,68287,太平桥东里 
其他,无电梯,草桥,南 北,2室1厅,1998年建板楼,71.72平米,450,62745,草桥欣园三区 
简装,无电梯,和义,南 北,2室2厅,1997年建板楼,69.64平米,295,42361,红星北里 
简装,有电梯,岳各庄,南 西,2室1厅,2003年建板塔结合,97.99平米,460,46944,民岳家园 
精装,有电梯,刘家窑,东南 北,3室2厅,2009年建板楼,153.55平米,1000,65126,贾家花园15号院 
精装,有电梯,成寿寺,南 北,3室2厅,2008年建板楼,156.53平米,1040,66441,文成建筑 
简装,有电梯,七里庄,东南,2室1厅,2005年建塔楼,117.33平米,675,57531,望园东里 
简装,无电梯,马家堡,东 西,2室2厅,2000年建板楼,78.56平米,446,56772,富卓苑 
简装,有电梯,岳各庄,东北,2室1厅,2004年建板塔结合,77.61平米,527,67904,第七街区 
精装,有电梯,玉泉营,北,1室1厅,2006年建板楼,63.81平米,430,67388,万年花城三期 
精装,无电梯,五里店,南 北,2室1厅,1970年建板楼,58.5平米,274,46838,程庄路3号院 
简装,有电梯,洋桥,东北,3室1厅,1998年建塔楼,69.46平米,405,58307,角门11号院 
简装,无电梯,北京南站,东,1室1厅,1997年建板楼,49.12平米,275,55986,翠林三里 
精装,无电梯,大红门,西北,2室1厅,1999年建板楼,68.36平米,375,54857,建欣苑四里 
简装,有电梯,花乡,南 北,2室1厅,2011年建板楼,90.32平米,450,49823,期颐百年 
精装,无电梯,青塔,南 北,2室2厅,2006年建板楼,105.61平米,630,59654,林栖园 
其他,无电梯,卢沟桥,南 北,2室1厅,2002年建板楼,86.86平米,365,42022,新月家园 
简装,无电梯,蒲黄榆,东 西,2室1厅,1988年建板楼,57.1平米,332,58144,定安东里 
精装,有电梯,七里庄,东南,2室1厅,2000年建塔楼,101.83平米,610,59904,庄维花园 
精装,有电梯,玉泉营,西南,2室1厅,2005年建板楼,91.93平米,535,58197,三环新城7号院 
简装,有电梯,玉泉营,东南,2室2厅,2007年建板楼,93.29平米,635,68068,三环新城4号院 
简装,无电梯,科技园区,南 北,3室1厅,2002年建板楼,109.85平米,629.8,57333,富锦嘉园四区 
其他,有电梯,七里庄,南 北,3室2厅,2004年建板楼,148.44平米,930,62652,小井润园一区 
精装,有电梯,成寿寺,东 西,3室1厅,2000年建板塔结合,119.86平米,645,53813,方宝苑 
精装,有电梯,太平桥,东,3室1厅,2004年建板塔结合,126.27平米,820,64941,尚西泊图 
精装,有电梯,六里桥,南 北,2室1厅,2006年建板塔结合,102.08平米,610,59758,莲怡园二区 
精装,无电梯,北大地,南 北,2室1厅,1985年建板楼,52.1平米,305,58542,北大地四里 
精装,有电梯,玉泉营,西,1室0厅,2004年建板塔结合,42.15平米,270,64057,三环新城7号院 
简装,有电梯,玉泉营,东南 北,3室2厅,2005年建塔楼,109.44平米,616,56287,万年花城回迁 
精装,有电梯,七里庄,东北,2室1厅,2006年建塔楼,98.71平米,588,59569,望园东里 
简装,无电梯,卢沟桥,东 西,2室1厅,2002年建板楼,85.64平米,350,40869,卢沟桥南里 
简装,无电梯,看丹桥,南 北,2室1厅,1992年建板楼,59.79平米,320,53521,南开西里 
简装,无电梯,卢沟桥,东 西,2室1厅,2002年建板楼,85.64平米,350,40869,卢沟桥南里 
简装,无电梯,看丹桥,南 北,2室1厅,1992年建板楼,59.79平米,320,53521,南开西里 
简装,无电梯,卢沟桥,东南,2室1厅,1998年建板楼,79.16平米,316,39920,晓月苑二里 
简装,无电梯,玉泉营,南 北,2室1厅,2001年建板楼,83.48平米,550,65885,怡海花园恒丰园 
精装,有电梯,玉泉营,西南,2室1厅,2008年建板楼,93.57平米,690,73742,万年花城四期 
简装,有电梯,看丹桥,南 西 北,2室1厅,2000年建塔楼,81.4平米,430,52826,新华街五里 
其他,有电梯,看丹桥,东北,3室1厅,2007年建塔楼,114.59平米,540,47125,新华街三里 
精装,有电梯,玉泉营,西,2室1厅,2005年建塔楼,82.09平米,460,56037,三环新城7号院 
精装,有电梯,太平桥,南 东北,2室1厅,2006年建塔楼,94.62平米,660,69753,首科花园 
简装,无电梯,七里庄,南 西 北,3室1厅,1998年建板楼,131.81平米,780,59177,望园东里 
简装,有电梯,成寿寺,东南,3室1厅,2002年建板塔结合,115.42平米,588,50945,静馨嘉苑 
精装,无电梯,科技园区,南 北,3室2厅,2006年建板楼,141.74平米,888,62650,亿城天筑 
精装,无电梯,宋家庄,南 北,2室1厅,1993年建板楼,71.31平米,370,51887,南方庄甲70号院 
简装,有电梯,看丹桥,西北,2室1厅,2008年建塔楼,86.38平米,495,57305,韩庄子小区 
精装,有电梯,马连道,东南 西北,3室2厅,2008年建塔楼,118.77平米,699,58854,建茗苑 
简装,有电梯,卢沟桥,南 北,3室2厅,2007年建板塔结合,129.48平米,495,38230,沸城 
简装,有电梯,马家堡,南 北,3室1厅,1998年建板塔结合,71.24平米,449,63027,嘉园一里 
精装,有电梯,草桥,南 北,2室1厅,2004年建板楼,87.75平米,520,59260,草桥欣园四区 
精装,有电梯,科技园区,西南,1室1厅,2008年建塔楼,57.85平米,292,50476,设计师广场 
简装,有电梯,方庄,南,1室1厅,1990年建塔楼,43.18平米,279,64614,芳群园四区 
精装,有电梯,方庄,南,3室1厅,1992年建塔楼,92.75平米,620,66847,芳群园一区 
简装,无电梯,蒲黄榆,南 北,2室1厅,1970年建板楼,54.6平米,327,59891,蒲黄榆四里 
其他,有电梯,太平桥,南,1室1厅,1989年建塔楼,41.65平米,342,82113,太平桥东里 
其他,无电梯,玉泉营,东 西,2室1厅,1993年建板楼,55.55平米,320,57606,造甲南里 
简装,无电梯,看丹桥,南 北,3室1厅,1996年建板楼,74.1平米,380,51283,新华街四里 
精装,无电梯,看丹桥,南 北,2室1厅,1992年建板楼,59.79平米,295,49340,南开西里 
其他,无电梯,科技园区,南 北,2室1厅,2008年建板楼,98.47平米,550,55855,富锦嘉园五区 
精装,有电梯,科技园区,西北,3室2厅,2001年建塔楼,136.34平米,765,56110,怡海花园富润园 
简装,有电梯,马家堡,南 北,4室2厅,2002年建板楼,179.77平米,1118,62191,益城园 
其他,有电梯,刘家窑,南,2室1厅,1989年建板楼,61.9平米,363,58643,南三环中路 
其他,有电梯,马家堡,西,2室1厅,2009年建板楼,62.18平米,395,63526,左右坊 
精装,无电梯,北大地,南 北,2室1厅,1985年建板楼,64.83平米,344,53062,北大街 
精装,有电梯,科技园区,西南 北,3室2厅,2002年建塔楼,152.74平米,880,57615,怡海花园富润园 
精装,无电梯,马家堡,南 北,3室1厅,2002年建板楼,99.04平米,580,58563,西马金润一区 
简装,无电梯,岳各庄,南,2室1厅,1990年建板楼,58.78平米,325,55291,大井北里 
简装,有电梯,花乡,西,2室1厅,2007年建塔楼,104.64平米,460,43961,天伦锦城 
简装,无电梯,马家堡,东 西,2室1厅,2000年建板楼,71.67平米,420,58602,富卓苑 
精装,无电梯,方庄,东 西,3室1厅,1990年建板楼,77.04平米,450,58412,芳星园三区 
简装,有电梯,北大地,西,2室1厅,2005年建塔楼,103.76平米,650,62645,永善里 
精装,有电梯,玉泉营,南,1室1厅,2011年建板楼,70.73平米,335,47364,青秀雅苑 
精装,有电梯,赵公口,东,3室1厅,2002年建塔楼,106.19平米,558,52548,康泽园 
精装,有电梯,科技园区,南 西北,3室2厅,2005年建塔楼,204.36平米,1380,67528,怡海花园恒泰园 
简装,无电梯,科技园区,南 北,2室1厅,2000年建板楼,74.74平米,368,49238,富丰路8号院 
精装,有电梯,玉泉营,西北,1室1厅,2007年建板楼,67.39平米,428,63511,优筑 
精装,有电梯,玉泉营,南 北,2室2厅,2011年建板楼,90.13平米,468,51925,青秀雅苑 
精装,有电梯,科技园区,东北,1室0厅,2008年建塔楼,46.62平米,268,57487,设计师广场 
精装,有电梯,宋家庄,东南,3室1厅,2001年建塔楼,146.65平米,795,54211,方安苑 
精装,有电梯,玉泉营,南 北,3室2厅,2011年建板塔结合,120.31平米,930,77301,青秀城 
简装,有电梯,北大地,东南,2室1厅,2005年建塔楼,75.95平米,480,63200,永善里 
简装,无电梯,看丹桥,南,1室1厅,1992年建板楼,38.26平米,255,66650,韩庄子二里 
简装,有电梯,科技园区,西南,2室2厅,2005年建塔楼,136.51平米,890,65197,怡海花园恒泰园 
简装,无电梯,玉泉营,南 北,2室1厅,1983年建板楼,52.5平米,308,58667,郑王坟141号院 
精装,有电梯,科技园区,东南,3室1厅,2002年建塔楼,144.2平米,830,57559,怡海花园富润园 
简装,3室1厅,五里店,南 北,2室1厅,1990年建板楼,68.64平米,292,42541,丰西北里 
简装,无电梯,七里庄,南 北,3室1厅,1986年建板楼,71.3平米,398,55821,中建一局北院 
精装,有电梯,七里庄,东南,2室1厅,2006年建塔楼,85.79平米,560,65276,庄维多摩市三期 
精装,有电梯,北大地,东 南,2室1厅,2004年建塔楼,96.26平米,545,56618,正阳小区 
精装,有电梯,玉泉营,南,2室1厅,2005年建板楼,100.39平米,696,69330,万年花城一期 
精装,无电梯,卢沟桥,东 西,1室1厅,2008年建板楼,69.41平米,346,49849,鑫融皓月 
精装,有电梯,科技园区,西北,2室1厅,1997年建塔楼,94.05平米,528,56141,阳光四季 
简装,有电梯,岳各庄,西北,3室1厅,2005年建塔楼,113.41平米,510,44970,丰体时代花园 
精装,无电梯,广安门,南 北,3室1厅,1992年建板楼,61.51平米,410,66656,莲花池南里 
精装,无电梯,玉泉营,东 西,2室1厅,2002年建板楼,108.88平米,580,53270,汇丰家园 
精装,有电梯,卢沟桥,南 北,2室2厅,2007年建板塔结合,110.77平米,485,43785,晓月新苑 
简装,有电梯,七里庄,北,1室1厅,2001年建塔楼,80.13平米,450,56159,庄维花园 
精装,无电梯,卢沟桥,南 北,2室1厅,1998年建板楼,100.74平米,400,39707,晓月苑三里 
精装,有电梯,玉泉营,西南 北,2室1厅,2006年建塔楼,96.51平米,569,58958,三环新城8号院 
简装,无电梯,看丹桥,南 北,2室1厅,1992年建板楼,54.22平米,270,49798,南开西里 
简装,有电梯,马连道,东南 北,3室2厅,2008年建塔楼,118.77平米,669,56328,建茗苑 
精装,有电梯,科技园区,西南,2室1厅,2001年建塔楼,102.46平米,650,63440,怡海花园富泽园 
简装,有电梯,玉泉营,东北,2室1厅,2008年建塔楼,93.22平米,630,67583,万年花城四期 
精装,有电梯,玉泉营,南,2室1厅,2008年建塔楼,96.21平米,696,72342,万年花城四期 
精装,有电梯,玉泉营,南 西 北,2室2厅,2011年建板楼,91.88平米,730,79452,万年花城五期 
精装,有电梯,玉泉营,南,2室1厅,2005年建板楼,100.03平米,555,55484,三环新城7号院 
精装,2室1厅,五里店,南 西 北,3室2厅,2000年建板楼,91.89平米,352,38307,丰西北里甲7号院 
简装,有电梯,玉泉营,东 西,2室1厅,2006年建板楼,95.66平米,615,64291,万年花城三期 
简装,有电梯,五里店,南 北,2室1厅,2005年建板楼,85.98平米,450,52338,和光里 
毛坯,有电梯,卢沟桥,东南,3室1厅,2007年建板楼,97.68平米,430,44022,晓月新城 
简装,无电梯,卢沟桥,南 北,2室1厅,1997年建板楼,69.87平米,310,44369,晓月苑一里 
简装,有电梯,宋家庄,南 北,2室2厅,2007年建板楼,87.4平米,538,61557,福臻家园 
精装,有电梯,七里庄,西南,2室1厅,2006年建塔楼,85.64平米,565,65974,庄维多摩市三期 
简装,无电梯,岳各庄,南,2室1厅,1990年建板楼,56.39平米,300,53201,大井北里 
精装,有电梯,太平桥,西南 北,3室2厅,1991年建塔楼,87.09平米,590,67747,太平桥小区 
精装,有电梯,科技园区,南 北,4室1厅,2002年建板塔结合,162.42平米,798,49132,益辰欣园 
简装,有电梯,科技园区,东 北,3室1厅,1996年建塔楼,165.88平米,800,48228,阳光四季 
其他,有电梯,刘家窑,西,2室1厅,2006年建板塔结合,88.3平米,525,59457,嘉业大厦 
其他,有电梯,玉泉营,南,3室1厅,2007年建板塔结合,119.82平米,660,55083,三环新城6号院 
精装,无电梯,西罗园,南 北,2室1厅,1996年建板楼,62.26平米,370,59429,华润小区 
简装,有电梯,马家堡,南 西 北,4室2厅,2002年建板楼,149.05平米,1020,68434,益城园 
精装,有电梯,马家堡,南 北,3室1厅,2004年建板楼,87.12平米,678,77824,益星园 
简装,有电梯,太平桥,西北,2室1厅,2004年建板塔结合,83平米,520,62651,尚西泊图 
精装,无电梯,北大地,东 西,2室1厅,1970年建板楼,53.5平米,320,59814,北大地二里 
简装,无电梯,五里店,南 北,2室1厅,1990年建板楼,63.3平米,297,46920,程庄路3号院 
精装,有电梯,玉泉营,西南,3室2厅,2005年建塔楼,199.75平米,1380,69087,怡海花园恒丰园 
简装,无电梯,丽泽,南 北,2室1厅,1996年建板楼,63.39平米,360,56792,泥洼路32号院 
其他,无电梯,西罗园,南,1室1厅,1993年建板楼,41.9平米,280,66826,西罗园四区 
其他,有电梯,北大地,东,3室1厅,2002年建塔楼,134.08平米,691,51537,福顺里 
其他,无电梯,玉泉营,南 北,3室2厅,1998年建板楼,93.32平米,518,55508,育菲园东里 
精装,有电梯,刘家窑,西南,2室1厅,2010年建塔楼,69.16平米,365,52777,宋家庄家园 
简装,无电梯,北大地,东 西,2室1厅,1992年建板楼,59.52平米,330,55444,东大街35号院 
简装,无电梯,玉泉营,南 北,3室1厅,1991年建板楼,74.67平米,380,50891,万柳园小区 
简装,无电梯,七里庄,南 北,2室1厅,1994年建板楼,78.62平米,447,56856,中建一局北院 
简装,有电梯,岳各庄,西南,2室1厅,2009年建塔楼,115.43平米,486,42104,丰体时代花园 
精装,无电梯,科技园区,南 北,2室2厅,1995年建板楼,107.98平米,500,46305,恒富中街6号院 
精装,有电梯,玉泉营,南 北,2室1厅,2011年建板楼,85.11平米,760,89297,青秀城 
简装,无电梯,旧宫,南 北,2室1厅,2003年建板楼,86平米,390,45349,菊源南里 
精装,无电梯,木樨园,南 北,2室1厅,1994年建板楼,63.3平米,322,50869,马公庄 
精装,有电梯,五里店,北,1室1厅,2005年建板楼,54.78平米,290,52940,和光里 
简装,3室2厅,七里庄,西北,3室2厅,2000年建板楼,113.82平米,650,57108,近园路 
精装,有电梯,马家堡,南 北,3室2厅,2003年建板楼,136.39平米,850,62322,三星庄园 
简装,无电梯,七里庄,南 北,3室1厅,1980年建板楼,71.4平米,455,63726,中建一局北院 
精装,有电梯,玉泉营,南 北,2室2厅,2011年建板塔结合,102.51平米,716,69847,青秀城 
精装,有电梯,卢沟桥,东 南 西北,3室1厅,2003年建塔楼,119.46平米,460,38507,晓月苑五里 
简装,有电梯,玉泉营,东 西,2室1厅,2006年建板楼,99.75平米,640,64161,万年花城三期 
其他,有电梯,六里桥,东南,2室1厅,2003年建塔楼,86.4平米,480,55556,盛今大厦 
简装,有电梯,玉泉营,东 西,2室2厅,2006年建板楼,95.5平米,600,62828,万年花城三期 
简装,3室1厅,五里店,南,1室1厅,1990年建板楼,40.25平米,190,47205,五里店南里 
简装,有电梯,玉泉营,南,3室1厅,2004年建板塔结合,117.75平米,658,55882,三环新城7号院 
简装,有电梯,玉泉营,南 北,3室2厅,2005年建板楼,134.1平米,915,68233,万年花城二期 
精装,有电梯,丽泽,南 北,2室2厅,2006年建暂无数据,106.73平米,800,74956,前泥洼小区 
精装,无电梯,太平桥,南 北,2室1厅,1989年建板楼,58.34平米,400,68564,太平桥东里 
简装,无电梯,五里店,南 北,3室1厅,1980年建板楼,72.5平米,340,46897,程庄路3号院 
精装,有电梯,五里店,东,1室1厅,2003年建塔楼,52.47平米,280,53364,程庄南里 
精装,有电梯,玉泉营,南 北,2室1厅,2004年建板塔结合,93.21平米,525,56325,三环新城7号院 
简装,无电梯,科技园区,南 北,3室2厅,2008年建板楼,134.01平米,710,52982,富锦嘉园五区 
其他,有电梯,宋家庄,东,2室1厅,2010年建塔楼,89.47平米,488,54544,红狮家园 
精装,有电梯,玉泉营,东 西,2室2厅,2008年建板楼,101.04平米,660,65321,万年花城四期 
精装,有电梯,玉泉营,北,1室1厅,2005年建板楼,62.03平米,430,69322,万年花城二期 
精装,2室1厅,五里店,东 北,2室1厅,2013年建板楼,66.44平米,315,47412,彩虹家园 
简装,有电梯,北大地,东,2室1厅,2005年建塔楼,75.95平米,480,63200,永善里 
简装,有电梯,科技园区,西南,1室1厅,2001年建塔楼,71.92平米,405,56313,怡海花园富润园 
其他,有电梯,成寿寺,西,1室1厅,1999年建塔楼,64.95平米,345,53118,华芳园 
精装,有电梯,青塔,西南,2室1厅,1999年建塔楼,73.26平米,372,50779,春园 
精装,有电梯,草桥,东南,3室2厅,2007年建塔楼,159.81平米,1050,65704,风景club 
简装,有电梯,大红门,南,2室2厅,2010年建板塔结合,99.62平米,677,67959,上海建筑 
简装,有电梯,草桥,南 北,3室2厅,2007年建板楼,143.16平米,1060,74044,风景club 
简装,有电梯,西罗园,西,2室1厅,2005年建板塔结合,127.91平米,650,50817,珠江骏景北区 
简装,无电梯,马家堡,南 北,2室2厅,1998年建板楼,81.07平米,457,56372,晨欣园 
简装,有电梯,新宫,南 北,2室1厅,1999年建板塔结合,65.92平米,280,42476,诚苑南里 
精装,有电梯,岳各庄,南 北,3室2厅,2006年建板楼,128.4平米,830,64642,珠江峰景 
简装,无电梯,丽泽,东,1室1厅,1993年建板楼,43.31平米,270,62342,前泥洼小区 
精装,有电梯,西罗园,南 北,3室2厅,2005年建板楼,137.87平米,860,62378,珠江骏景北区 
简装,有电梯,马家堡,南 北,2室2厅,2006年建板楼,99.7平米,660,66199,丽水园 
简装,有电梯,草桥,南 北,2室2厅,2001年建板楼,124.23平米,799,64317,恋日嘉园一期 
其他,无电梯,草桥,南 北,3室1厅,1998年建板楼,93.08平米,590,63387,草桥欣园三区 
精装,有电梯,洋桥,东南,2室1厅,1990年建板塔结合,95.36平米,430,45093,海户西里 
精装,有电梯,青塔,东南,3室2厅,2006年建塔楼,117.28平米,585,49881,长安新城一区 
精装,有电梯,马家堡,东,2室1厅,2009年建板楼,62.18平米,395,63526,左右坊 
简装,有电梯,宋家庄,南 西,3室2厅,2003年建塔楼,128.76平米,685,53200,政馨园三区 
简装,有电梯,角门,西北,2室1厅,2006年建板塔结合,82.35平米,440,53431,枫南世嘉 
精装,有电梯,马家堡,南 北,2室1厅,2005年建板楼,107.03平米,755,70541,名都家苑 
精装,有电梯,科技园区,西南,3室2厅,2001年建塔楼,105.87平米,630,59507,怡海花园富润园 
简装,有电梯,方庄,东南,3室1厅,1990年建板塔结合,97平米,570,58763,芳城园一区 
简装,有电梯,马家堡,南 北,3室2厅,2005年建板楼,147.67平米,1030,69751,星河城西区 
简装,有电梯,成寿寺,南 北,2室1厅,2008年建板楼,114.74平米,730,63623,文成建筑 
精装,有电梯,马家堡,南 北,3室1厅,2005年建板楼,122.16平米,850,69581,丽水园 
精装,有电梯,科技园区,东,2室1厅,2008年建塔楼,72.93平米,320,43878,天龙华鹤 
简装,有电梯,七里庄,东北,3室1厅,2000年建塔楼,96.85平米,560,57822,望园东里 
精装,有电梯,菜户营,南 北,2室1厅,2008年建板楼,86.2平米,770,89328,金泰城丽湾 
简装,有电梯,宋家庄,南 北,2室1厅,1993年建板楼,61.6平米,365,59254,南方庄小区 
精装,1室0厅,玉泉营,南 北,4室2厅,2016年建板楼,193.98平米,2499,128828,懋源钓云台 
简装,有电梯,七里庄,北,1室0厅,2004年建板楼,44.29平米,298,67284,保利欣苑 
精装,无电梯,北大地,东北,2室1厅,1982年建板楼,55.6平米,330,59353,北大地一里 
简装,有电梯,北大地,东北,3室1厅,2000年建塔楼,116.31平米,628,53994,文体路甲3号院 
简装,无电梯,蒲黄榆,南 北,2室1厅,1990年建板楼,61.5平米,325,52846,蒲安里 
精装,无电梯,科技园区,南 北,3室1厅,1995年建板楼,75.6平米,400,52911,富丰园小区 
精装,无电梯,马家堡,东 西,1室1厅,1997年建板楼,42.39平米,271,63931,马家堡西里 
精装,有电梯,刘家窑,南 北,1室1厅,1998年建板塔结合,57.51平米,316,54947,石榴园南里小区 
精装,无电梯,卢沟桥,南 北,2室1厅,1998年建板楼,70.13平米,300,42778,晓月苑二里 
精装,无电梯,和义,南 北,2室1厅,2009年建板楼,96.56平米,505,52300,和义西里二区 
精装,有电梯,玉泉营,西北,2室1厅,2008年建塔楼,88.05平米,617,70074,万年花城四期 
精装,有电梯,丽泽,西南,2室1厅,2004年建塔楼,103.12平米,640,62064,盛鑫嘉园 
精装,无电梯,北大地,南 北,3室1厅,1981年建板楼,69.4平米,418,60231,北大地四里 
其他,无电梯,北大地,南 北,2室1厅,2003年建板楼,69.84平米,420,60138,同盛里 
简装,有电梯,成寿寺,北,1室1厅,2006年建板塔结合,57.01平米,325,57008,四方景园四区 
简装,有电梯,玉泉营,西,2室1厅,2008年建塔楼,85.76平米,475,55388,万年花城回迁 
精装,有电梯,丽泽,南 北,2室1厅,2010年建板塔结合,94.77平米,757,79878,益丰苑 
简装,有电梯,菜户营,东南,3室2厅,2001年建塔楼,204.05平米,1150,56359,鹏润家园 
精装,有电梯,科技园区,东 西,1室1厅,2012年建板楼,55.18平米,439,79558,中海苏黎世家 
精装,无电梯,太平桥,南 北,2室1厅,1990年建板楼,59.06平米,390,66035,太平桥小区 
